ANGELEGT_AM,TATZEIT_ANFANG_DATUM,TATZEIT_ANFANG_STUNDE,TATZEIT_ENDE_DATUM,TATZEIT_ENDE_STUNDE,SCHADENSHOEHE,VERSUCH,ART_DES_FAHRRADS,DELIKT,ERFASSUNGSGRUND,bezirk_id,bezirk_name,ZEITUNTERSCHIED,ZEIT_BIS_TATZEIT
2023-09-08,2023-09-07,06:00,2023-09-07,18:00,1500,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,12,Reinickendorf,0 days,1 days
2023-09-08,2023-09-07,12:00,2023-09-08,01:00,1500,Nein,diverse Fahrräder,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,5,Spandau,1 days,1 days
2023-09-08,2023-09-06,07:00,2023-09-06,21:00,510,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,8,Neukölln,0 days,2 days
2023-09-08,2023-09-08,10:00,2023-09-08,15:00,599,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,6,Steglitz-Zehlendorf,0 days,0 days
2023-09-08,2023-09-07,14:00,2023-09-08,07:00,1281,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2,Friedrichshain-Kreuzberg,1 days,1 days
2023-09-08,2023-09-08,08:00,2023-09-08,14:00,589,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,12,Reinickendorf,0 days,0 days
2023-09-08,2023-09-08,18:00,2023-09-08,19:00,4282,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,9,Treptow-Köpenick,0 days,0 days
2023-09-08,2023-09-07,18:00,2023-09-08,06:00,1099,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,11,Lichtenberg,1 days,1 days
2023-09-08,2023-09-07,19:00,2023-09-07,23:00,300,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2,Friedrichshain-Kreuzberg,0 days,1 days
2023-09-08,2023-09-07,13:00,2023-09-08,08:00,599,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,3,Pankow,1 days,1 days
2023-09-08,2023-09-08,10:00,2023-09-08,10:00,100,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,3,Pankow,0 days,0 days
2023-09-08,2023-09-07,08:00,2023-09-07,16:00,923,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1,Mitte,0 days,1 days
2023-09-08,2023-08-16,20:00,2023-08-17,09:00,3000,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,11,Lichtenberg,1 days,23 days
2023-09-08,2023-09-07,21:00,2023-09-08,08:00,85,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,9,Treptow-Köpenick,1 days,1 days
2023-09-08,2023-09-08,09:00,2023-09-08,12:00,1000,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1,Mitte,0 days,0 days
2023-09-08,2023-09-07,10:00,2023-09-07,19:00,500,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,12,Reinickendorf,0 days,1 days
2023-09-08,2023-09-07,22:00,2023-09-08,05:00,3099,Nein,diverse Fahrräder,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,9,Treptow-Köpenick,1 days,1 days
